segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9701 (27555/28403),0.0039 (111/28403),0.0000 (0/28403),0.0001 (4/28403),0.0000 (0/28403),0.0000 (0/28403),0.0160 (455/28403),0.0091 (259/28403),0.0000 (0/28403),0.0007 (19/28403)
active_customer_1m,0.0000 (0/7310),0.3761 (2749/7310),0.6227 (4552/7310),0.0000 (0/7310),0.0012 (9/7310),0.0000 (0/7310),0.0000 (0/7310),0.0000 (0/7310),0.0000 (0/7310),0.0000 (0/7310)
active_customer_6m,0.0000 (0/30538),0.1982 (6052/30538),0.8012 (24468/30538),0.0000 (0/30538),0.0006 (18/30538),0.0000 (0/30538),0.0000 (0/30538),0.0000 (0/30538),0.0000 (0/30538),0.0000 (0/30538)
dead_credit_holder,0.0000 (0/6580),0.0198 (130/6580),0.0000 (0/6580),0.3828 (2519/6580),0.0002 (1/6580),0.0000 (0/6580),0.0000 (0/6580),0.0000 (0/6580),0.0000 (0/6580),0.5973 (3930/6580)
dead_customer,0.0000 (0/83),0.0482 (4/83),0.1566 (13/83),0.0000 (0/83),0.7952 (66/83),0.0000 (0/83),0.0000 (0/83),0.0000 (0/83),0.0000 (0/83),0.0000 (0/83)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/215),0.2744 (59/215),0.0000 (0/215),0.0000 (0/215),0.0000 (0/215),0.0000 (0/215),0.0000 (0/215),0.0000 (0/215),0.0000 (0/215),0.7256 (156/215)
rejected,0.0000 (0/83750),0.0032 (268/83750),0.0000 (0/83750),0.0000 (1/83750),0.0000 (0/83750),0.0000 (0/83750),0.0077 (648/83750),0.9886 (82798/83750),0.0000 (0/83750),0.0004 (35/83750)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/273167),0.0230 (6280/273167),0.0000 (0/273167),0.0007 (183/273167),0.0000 (1/273167),0.0000 (0/273167),0.0000 (0/273167),0.0000 (0/273167),0.0000 (0/273167),0.9763 (266703/273167)
