segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9710 (18953/19519),0.0043 (83/19519),0.0000 (0/19519),0.0001 (1/19519),0.0000 (0/19519),0.0000 (0/19519),0.0127 (247/19519),0.0113 (221/19519),0.0000 (0/19519),0.0007 (14/19519)
active_customer_1m,0.0000 (0/3397),0.3141 (1067/3397),0.6853 (2328/3397),0.0000 (0/3397),0.0006 (2/3397),0.0000 (0/3397),0.0000 (0/3397),0.0000 (0/3397),0.0000 (0/3397),0.0000 (0/3397)
active_customer_6m,0.0000 (0/13166),0.1609 (2118/13166),0.8385 (11040/13166),0.0000 (0/13166),0.0006 (8/13166),0.0000 (0/13166),0.0000 (0/13166),0.0000 (0/13166),0.0000 (0/13166),0.0000 (0/13166)
dead_credit_holder,0.0000 (0/211),0.0190 (4/211),0.0000 (0/211),0.8389 (177/211),0.0000 (0/211),0.0000 (0/211),0.0000 (0/211),0.0000 (0/211),0.0000 (0/211),0.1422 (30/211)
dead_customer,0.0000 (0/18),0.0000 (0/18),0.0556 (1/18),0.0000 (0/18),0.9444 (17/18),0.0000 (0/18),0.0000 (0/18),0.0000 (0/18),0.0000 (0/18),0.0000 (0/18)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/142),0.3380 (48/142),0.0000 (0/142),0.0000 (0/142),0.0000 (0/142),0.0000 (0/142),0.0000 (0/142),0.0000 (0/142),0.0000 (0/142),0.6620 (94/142)
rejected,0.0000 (0/51919),0.0031 (160/51919),0.0000 (0/51919),0.0000 (1/51919),0.0000 (0/51919),0.0000 (0/51919),0.0058 (303/51919),0.9906 (51433/51919),0.0000 (0/51919),0.0004 (22/51919)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/75483),0.0373 (2813/75483),0.0000 (0/75483),0.0006 (43/75483),0.0000 (0/75483),0.0000 (0/75483),0.0000 (0/75483),0.0000 (0/75483),0.0000 (0/75483),0.9622 (72627/75483)
