segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9607 (24641/25649),0.0018 (46/25649),0.0000 (0/25649),0.0000 (0/25649),0.0000 (0/25649),0.0000 (0/25649),0.0026 (67/25649),0.0349 (895/25649),0.0000 (0/25649),0.0000 (0/25649)
active_customer_1m,0.0000 (0/95680),0.4892 (46804/95680),0.5106 (48855/95680),0.0000 (0/95680),0.0002 (21/95680),0.0000 (0/95680),0.0000 (0/95680),0.0000 (0/95680),0.0000 (0/95680),0.0000 (0/95680)
active_customer_6m,0.0000 (0/104283),0.1722 (17959/104283),0.8274 (86282/104283),0.0000 (0/104283),0.0004 (42/104283),0.0000 (0/104283),0.0000 (0/104283),0.0000 (0/104283),0.0000 (0/104283),0.0000 (0/104283)
dead_credit_holder,0.0000 (0/2744),0.0036 (10/2744),0.0000 (0/2744),0.9913 (2720/2744),0.0000 (0/2744),0.0000 (0/2744),0.0000 (0/2744),0.0000 (0/2744),0.0000 (0/2744),0.0051 (14/2744)
dead_customer,0.0000 (0/99),0.0101 (1/99),0.0000 (0/99),0.0000 (0/99),0.9899 (98/99),0.0000 (0/99),0.0000 (0/99),0.0000 (0/99),0.0000 (0/99),0.0000 (0/99)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/1115),0.2179 (243/1115),0.0000 (0/1115),0.0009 (1/1115),0.0000 (0/1115),0.0000 (0/1115),0.0000 (0/1115),0.0000 (0/1115),0.0000 (0/1115),0.7812 (871/1115)
rejected,0.0000 (0/151987),0.0041 (629/151987),0.0000 (0/151987),0.0000 (0/151987),0.0000 (0/151987),0.0000 (0/151987),0.0022 (331/151987),0.9937 (151027/151987),0.0000 (0/151987),0.0000 (0/151987)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/1088516),0.0266 (29006/1088516),0.0000 (0/1088516),0.0004 (486/1088516),0.0000 (6/1088516),0.0000 (0/1088516),0.0000 (0/1088516),0.0000 (0/1088516),0.0000 (0/1088516),0.9729 (1059018/1088516)
