segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9684 (25308/26133),0.0030 (79/26133),0.0000 (0/26133),0.0000 (0/26133),0.0000 (0/26133),0.0000 (0/26133),0.0140 (365/26133),0.0146 (381/26133),0.0000 (0/26133),0.0000 (0/26133)
active_customer_1m,0.0000 (0/10140),0.3514 (3563/10140),0.6486 (6577/10140),0.0000 (0/10140),0.0000 (0/10140),0.0000 (0/10140),0.0000 (0/10140),0.0000 (0/10140),0.0000 (0/10140),0.0000 (0/10140)
active_customer_6m,0.0000 (0/23887),0.2043 (4880/23887),0.5069 (12109/23887),0.0000 (0/23887),0.0004 (9/23887),0.2884 (6889/23887),0.0000 (0/23887),0.0000 (0/23887),0.0000 (0/23887),0.0000 (0/23887)
dead_credit_holder,0.0000 (0/430),0.0023 (1/430),0.0000 (0/430),0.4860 (209/430),0.0000 (0/430),0.0000 (0/430),0.0000 (0/430),0.0000 (0/430),0.0000 (0/430),0.5116 (220/430)
dead_customer,0.0000 (0/82),0.0610 (5/82),0.1951 (16/82),0.0000 (0/82),0.5000 (41/82),0.2439 (20/82),0.0000 (0/82),0.0000 (0/82),0.0000 (0/82),0.0000 (0/82)
dormant_customer,0.0000 (0/279),0.0896 (25/279),0.0000 (0/279),0.0000 (0/279),0.0000 (0/279),0.9104 (254/279),0.0000 (0/279),0.0000 (0/279),0.0000 (0/279),0.0000 (0/279)
fresh_credit_holder,0.0000 (0/960),0.1760 (169/960),0.0000 (0/960),0.0010 (1/960),0.0000 (0/960),0.0000 (0/960),0.0000 (0/960),0.0000 (0/960),0.0000 (0/960),0.8229 (790/960)
rejected,0.0000 (0/76709),0.0040 (309/76709),0.0000 (1/76709),0.0000 (1/76709),0.0000 (0/76709),0.0000 (0/76709),0.0107 (817/76709),0.9853 (75581/76709),0.0000 (0/76709),0.0000 (0/76709)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/71562),0.0445 (3181/71562),0.0000 (0/71562),0.0008 (57/71562),0.0000 (0/71562),0.0000 (0/71562),0.0000 (0/71562),0.0000 (0/71562),0.0000 (0/71562),0.9548 (68324/71562)
