segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9657 (6699/6937),0.0049 (34/6937),0.0000 (0/6937),0.0000 (0/6937),0.0000 (0/6937),0.0000 (0/6937),0.0133 (92/6937),0.0157 (109/6937),0.0000 (0/6937),0.0004 (3/6937)
active_customer_1m,0.0000 (0/8791),0.6218 (5466/8791),0.3778 (3321/8791),0.0000 (0/8791),0.0005 (4/8791),0.0000 (0/8791),0.0000 (0/8791),0.0000 (0/8791),0.0000 (0/8791),0.0000 (0/8791)
active_customer_6m,0.0000 (0/23487),0.2620 (6154/23487),0.6367 (14953/23487),0.0000 (0/23487),0.0007 (17/23487),0.1006 (2363/23487),0.0000 (0/23487),0.0000 (0/23487),0.0000 (0/23487),0.0000 (0/23487)
dead_credit_holder,0.0000 (0/323),0.0093 (3/323),0.0000 (0/323),0.9876 (319/323),0.0000 (0/323),0.0000 (0/323),0.0000 (0/323),0.0000 (0/323),0.0000 (0/323),0.0031 (1/323)
dead_customer,0.0000 (0/96),0.0104 (1/96),0.0312 (3/96),0.0000 (0/96),0.9271 (89/96),0.0312 (3/96),0.0000 (0/96),0.0000 (0/96),0.0000 (0/96),0.0000 (0/96)
dormant_customer,0.0000 (0/10393),0.0718 (746/10393),0.0032 (33/10393),0.0000 (0/10393),0.0006 (6/10393),0.9245 (9608/10393),0.0000 (0/10393),0.0000 (0/10393),0.0000 (0/10393),0.0000 (0/10393)
fresh_credit_holder,0.0000 (0/26),0.5000 (13/26),0.0000 (0/26),0.0000 (0/26),0.0000 (0/26),0.0000 (0/26),0.0000 (0/26),0.0000 (0/26),0.0000 (0/26),0.5000 (13/26)
rejected,0.0000 (0/42670),0.0123 (524/42670),0.0001 (5/42670),0.0000 (2/42670),0.0000 (0/42670),0.0000 (0/42670),0.0217 (926/42670),0.9651 (41179/42670),0.0000 (0/42670),0.0008 (34/42670)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/49845),0.0294 (1463/49845),0.0012 (60/49845),0.0006 (31/49845),0.0000 (0/49845),0.0000 (0/49845),0.0000 (0/49845),0.0000 (0/49845),0.0000 (0/49845),0.9688 (48291/49845)
