segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.8006 (14977/18707),0.0104 (195/18707),0.0000 (0/18707),0.0001 (2/18707),0.0000 (0/18707),0.0000 (0/18707),0.1634 (3056/18707),0.0255 (477/18707),0.0000 (0/18707),0.0000 (0/18707)
active_customer_1m,0.0000 (0/27255),0.4674 (12738/27255),0.5319 (14496/27255),0.0000 (0/27255),0.0008 (21/27255),0.0000 (0/27255),0.0000 (0/27255),0.0000 (0/27255),0.0000 (0/27255),0.0000 (0/27255)
active_customer_6m,0.0000 (0/36757),0.2419 (8893/36757),0.6249 (22970/36757),0.0000 (0/36757),0.0012 (43/36757),0.1320 (4851/36757),0.0000 (0/36757),0.0000 (0/36757),0.0000 (0/36757),0.0000 (0/36757)
dead_credit_holder,0.0000 (0/3616),0.0058 (21/3616),0.0000 (0/3616),0.9657 (3492/3616),0.0003 (1/3616),0.0000 (0/3616),0.0000 (0/3616),0.0000 (0/3616),0.0000 (0/3616),0.0282 (102/3616)
dead_customer,0.0000 (0/350),0.0400 (14/350),0.0229 (8/350),0.0000 (0/350),0.9200 (322/350),0.0171 (6/350),0.0000 (0/350),0.0000 (0/350),0.0000 (0/350),0.0000 (0/350)
dormant_customer,0.0000 (0/9686),0.1193 (1156/9686),0.0000 (0/9686),0.0000 (0/9686),0.0003 (3/9686),0.8803 (8527/9686),0.0000 (0/9686),0.0000 (0/9686),0.0000 (0/9686),0.0000 (0/9686)
fresh_credit_holder,0.0000 (0/17569),0.1332 (2341/17569),0.0000 (0/17569),0.0002 (3/17569),0.0001 (1/17569),0.0000 (0/17569),0.0000 (0/17569),0.0000 (0/17569),0.0000 (0/17569),0.8665 (15224/17569)
rejected,0.0000 (0/68872),0.0126 (871/68872),0.0000 (1/68872),0.0000 (1/68872),0.0000 (1/68872),0.0000 (0/68872),0.0662 (4558/68872),0.9211 (63440/68872),0.0000 (0/68872),0.0000 (0/68872)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/247234),0.0579 (14324/247234),0.0000 (0/247234),0.0005 (115/247234),0.0000 (3/247234),0.0000 (0/247234),0.0000 (0/247234),0.0000 (0/247234),0.0000 (0/247234),0.9416 (232792/247234)
