segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.8275 (7402/8945),0.0114 (102/8945),0.0000 (0/8945),0.0000 (0/8945),0.0000 (0/8945),0.0000 (0/8945),0.1287 (1151/8945),0.0324 (290/8945),0.0000 (0/8945),0.0000 (0/8945)
active_customer_1m,0.0000 (0/10691),0.4617 (4936/10691),0.5377 (5749/10691),0.0000 (0/10691),0.0006 (6/10691),0.0000 (0/10691),0.0000 (0/10691),0.0000 (0/10691),0.0000 (0/10691),0.0000 (0/10691)
active_customer_6m,0.0000 (0/17536),0.2403 (4214/17536),0.7577 (13287/17536),0.0000 (0/17536),0.0020 (35/17536),0.0000 (0/17536),0.0000 (0/17536),0.0000 (0/17536),0.0000 (0/17536),0.0000 (0/17536)
dead_credit_holder,0.0000 (0/278),0.0324 (9/278),0.0000 (0/278),0.9209 (256/278),0.0000 (0/278),0.0000 (0/278),0.0000 (0/278),0.0000 (0/278),0.0000 (0/278),0.0468 (13/278)
dead_customer,0.0000 (0/30),0.0667 (2/30),0.0667 (2/30),0.0000 (0/30),0.8667 (26/30),0.0000 (0/30),0.0000 (0/30),0.0000 (0/30),0.0000 (0/30),0.0000 (0/30)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/8956),0.1677 (1502/8956),0.0000 (0/8956),0.0002 (2/8956),0.0000 (0/8956),0.0000 (0/8956),0.0000 (0/8956),0.0000 (0/8956),0.0000 (0/8956),0.8321 (7452/8956)
rejected,0.0000 (0/50501),0.0137 (691/50501),0.0000 (0/50501),0.0001 (4/50501),0.0000 (0/50501),0.0000 (0/50501),0.0579 (2923/50501),0.9284 (46883/50501),0.0000 (0/50501),0.0000 (0/50501)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/49788),0.0793 (3946/49788),0.0000 (0/49788),0.0005 (26/49788),0.0000 (1/49788),0.0000 (0/49788),0.0000 (0/49788),0.0000 (0/49788),0.0000 (0/49788),0.9202 (45815/49788)
