segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9643 (1459/1513),0.0026 (4/1513),0.0000 (0/1513),0.0000 (0/1513),0.0000 (0/1513),0.0000 (0/1513),0.0046 (7/1513),0.0284 (43/1513),0.0000 (0/1513),0.0000 (0/1513)
active_customer_1m,0.0000 (0/2208),0.4846 (1070/2208),0.5140 (1135/2208),0.0000 (0/2208),0.0014 (3/2208),0.0000 (0/2208),0.0000 (0/2208),0.0000 (0/2208),0.0000 (0/2208),0.0000 (0/2208)
active_customer_6m,0.0000 (0/3741),0.1633 (611/3741),0.6033 (2257/3741),0.0000 (0/3741),0.0011 (4/3741),0.2323 (869/3741),0.0000 (0/3741),0.0000 (0/3741),0.0000 (0/3741),0.0000 (0/3741)
dead_credit_holder,0.0000 (0/43),0.0000 (0/43),0.0000 (0/43),1.0000 (43/43),0.0000 (0/43),0.0000 (0/43),0.0000 (0/43),0.0000 (0/43),0.0000 (0/43),0.0000 (0/43)
dead_customer,0.0000 (0/16),0.0000 (0/16),0.0000 (0/16),0.0000 (0/16),1.0000 (16/16),0.0000 (0/16),0.0000 (0/16),0.0000 (0/16),0.0000 (0/16),0.0000 (0/16)
dormant_customer,0.0000 (0/187),0.0214 (4/187),0.0000 (0/187),0.0000 (0/187),0.0000 (0/187),0.9786 (183/187),0.0000 (0/187),0.0000 (0/187),0.0000 (0/187),0.0000 (0/187)
fresh_credit_holder,0.0000 (0/71),0.1549 (11/71),0.0000 (0/71),0.0000 (0/71),0.0000 (0/71),0.0000 (0/71),0.0000 (0/71),0.0000 (0/71),0.0000 (0/71),0.8451 (60/71)
rejected,0.0000 (0/6924),0.0036 (25/6924),0.0000 (0/6924),0.0000 (0/6924),0.0000 (0/6924),0.0000 (0/6924),0.0027 (19/6924),0.9936 (6880/6924),0.0000 (0/6924),0.0000 (0/6924)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/8252),0.0416 (343/8252),0.0000 (0/8252),0.0008 (7/8252),0.0000 (0/8252),0.0000 (0/8252),0.0000 (0/8252),0.0000 (0/8252),0.0000 (0/8252),0.9576 (7902/8252)
