segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9211 (11580/12572),0.0124 (156/12572),0.0000 (0/12572),0.0001 (1/12572),0.0000 (0/12572),0.0000 (0/12572),0.0317 (398/12572),0.0348 (437/12572),0.0000 (0/12572),0.0000 (0/12572)
active_customer_1m,0.0000 (0/15805),0.2104 (3326/15805),0.7888 (12467/15805),0.0000 (0/15805),0.0008 (12/15805),0.0000 (0/15805),0.0000 (0/15805),0.0000 (0/15805),0.0000 (0/15805),0.0000 (0/15805)
active_customer_6m,0.0000 (0/23),0.2609 (6/23),0.7391 (17/23),0.0000 (0/23),0.0000 (0/23),0.0000 (0/23),0.0000 (0/23),0.0000 (0/23),0.0000 (0/23),0.0000 (0/23)
dead_credit_holder,0.0000 (0/171),0.0526 (9/171),0.0000 (0/171),0.2515 (43/171),0.0000 (0/171),0.0000 (0/171),0.0000 (0/171),0.0000 (0/171),0.0000 (0/171),0.6959 (119/171)
dead_customer,0.0000 (0/7),0.1429 (1/7),0.5714 (4/7),0.0000 (0/7),0.2857 (2/7),0.0000 (0/7),0.0000 (0/7),0.0000 (0/7),0.0000 (0/7),0.0000 (0/7)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/57225),0.1123 (6425/57225),0.0000 (0/57225),0.0005 (28/57225),0.0001 (5/57225),0.0000 (0/57225),0.0000 (0/57225),0.0000 (0/57225),0.0000 (0/57225),0.8871 (50767/57225)
rejected,0.0000 (0/58906),0.0050 (294/58906),0.0000 (0/58906),0.0000 (0/58906),0.0000 (0/58906),0.0000 (0/58906),0.0111 (656/58906),0.9839 (57956/58906),0.0000 (0/58906),0.0000 (0/58906)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/2016),0.0709 (143/2016),0.0000 (0/2016),0.0005 (1/2016),0.0000 (0/2016),0.0000 (0/2016),0.0000 (0/2016),0.0000 (0/2016),0.0000 (0/2016),0.9286 (1872/2016)
