segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9860 (35664/36170),0.0009 (33/36170),0.0000 (0/36170),0.0000 (0/36170),0.0000 (0/36170),0.0000 (0/36170),0.0032 (117/36170),0.0098 (356/36170),0.0000 (0/36170),0.0000 (0/36170)
active_customer_1m,0.0000 (0/37300),0.3847 (14350/37300),0.6152 (22946/37300),0.0000 (0/37300),0.0001 (4/37300),0.0000 (0/37300),0.0000 (0/37300),0.0000 (0/37300),0.0000 (0/37300),0.0000 (0/37300)
active_customer_6m,0.0000 (0/61855),0.1050 (6493/61855),0.8947 (55341/61855),0.0000 (0/61855),0.0003 (21/61855),0.0000 (0/61855),0.0000 (0/61855),0.0000 (0/61855),0.0000 (0/61855),0.0000 (0/61855)
dead_credit_holder,0.0000 (0/614),0.0033 (2/614),0.0016 (1/614),0.9739 (598/614),0.0000 (0/614),0.0000 (0/614),0.0000 (0/614),0.0000 (0/614),0.0000 (0/614),0.0212 (13/614)
dead_customer,0.0000 (0/50),0.0400 (2/50),0.0800 (4/50),0.0000 (0/50),0.8800 (44/50),0.0000 (0/50),0.0000 (0/50),0.0000 (0/50),0.0000 (0/50),0.0000 (0/50)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/988),0.1356 (134/988),0.0182 (18/988),0.0010 (1/988),0.0000 (0/988),0.0000 (0/988),0.0243 (24/988),0.0000 (0/988),0.0000 (0/988),0.8209 (811/988)
rejected,0.0000 (0/245482),0.0013 (318/245482),0.0000 (10/245482),0.0000 (0/245482),0.0000 (1/245482),0.0000 (0/245482),0.0016 (400/245482),0.9970 (244753/245482),0.0000 (0/245482),0.0000 (0/245482)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/383895),0.0099 (3818/383895),0.0010 (385/383895),0.0002 (63/383895),0.0000 (0/383895),0.0000 (0/383895),0.0000 (0/383895),0.0000 (0/383895),0.0000 (0/383895),0.9889 (379629/383895)
