segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9685 (6581/6795),0.0044 (30/6795),0.0001 (1/6795),0.0000 (0/6795),0.0000 (0/6795),0.0000 (0/6795),0.0135 (92/6795),0.0130 (88/6795),0.0000 (0/6795),0.0004 (3/6795)
active_customer_1m,0.0000 (0/8399),0.6335 (5321/8399),0.3658 (3072/8399),0.0000 (0/8399),0.0007 (6/8399),0.0000 (0/8399),0.0000 (0/8399),0.0000 (0/8399),0.0000 (0/8399),0.0000 (0/8399)
active_customer_6m,0.0000 (0/24190),0.2511 (6073/24190),0.6412 (15510/24190),0.0000 (0/24190),0.0007 (16/24190),0.1071 (2591/24190),0.0000 (0/24190),0.0000 (0/24190),0.0000 (0/24190),0.0000 (0/24190)
dead_credit_holder,0.0000 (0/333),0.0120 (4/333),0.0000 (0/333),0.9730 (324/333),0.0030 (1/333),0.0000 (0/333),0.0000 (0/333),0.0000 (0/333),0.0000 (0/333),0.0120 (4/333)
dead_customer,0.0000 (0/100),0.0300 (3/100),0.0300 (3/100),0.0000 (0/100),0.9100 (91/100),0.0300 (3/100),0.0000 (0/100),0.0000 (0/100),0.0000 (0/100),0.0000 (0/100)
dormant_customer,0.0000 (0/9360),0.0745 (697/9360),0.0021 (20/9360),0.0000 (0/9360),0.0017 (16/9360),0.9217 (8627/9360),0.0000 (0/9360),0.0000 (0/9360),0.0000 (0/9360),0.0000 (0/9360)
fresh_credit_holder,0.0000 (0/34),0.2647 (9/34),0.0294 (1/34),0.0000 (0/34),0.0000 (0/34),0.0000 (0/34),0.0000 (0/34),0.0000 (0/34),0.0000 (0/34),0.7059 (24/34)
rejected,0.0000 (0/46565),0.0120 (557/46565),0.0001 (6/46565),0.0000 (1/46565),0.0000 (0/46565),0.0000 (0/46565),0.0206 (957/46565),0.9668 (45017/46565),0.0000 (0/46565),0.0006 (27/46565)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/50949),0.0294 (1499/50949),0.0010 (52/50949),0.0006 (29/50949),0.0000 (2/50949),0.0000 (0/50949),0.0000 (0/50949),0.0000 (0/50949),0.0000 (0/50949),0.9689 (49367/50949)
