segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9410 (20597/21889),0.0122 (268/21889),0.0003 (6/21889),0.0000 (1/21889),0.0000 (0/21889),0.0000 (0/21889),0.0241 (528/21889),0.0213 (466/21889),0.0000 (0/21889),0.0011 (23/21889)
active_customer_1m,0.0000 (0/9543),0.5295 (5053/9543),0.4703 (4488/9543),0.0000 (0/9543),0.0002 (2/9543),0.0000 (0/9543),0.0000 (0/9543),0.0000 (0/9543),0.0000 (0/9543),0.0000 (0/9543)
active_customer_6m,0.0000 (0/23823),0.2032 (4842/23823),0.7965 (18976/23823),0.0000 (0/23823),0.0002 (5/23823),0.0000 (0/23823),0.0000 (0/23823),0.0000 (0/23823),0.0000 (0/23823),0.0000 (0/23823)
dead_credit_holder,0.0000 (0/321),0.0125 (4/321),0.0000 (0/321),0.9751 (313/321),0.0000 (0/321),0.0000 (0/321),0.0000 (0/321),0.0000 (0/321),0.0000 (0/321),0.0125 (4/321)
dead_customer,0.0000 (0/20),0.0000 (0/20),0.0000 (0/20),0.0000 (0/20),1.0000 (20/20),0.0000 (0/20),0.0000 (0/20),0.0000 (0/20),0.0000 (0/20),0.0000 (0/20)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/254),0.3583 (91/254),0.0551 (14/254),0.0000 (0/254),0.0000 (0/254),0.0000 (0/254),0.0000 (0/254),0.0000 (0/254),0.0000 (0/254),0.5866 (149/254)
rejected,0.0000 (0/206737),0.0156 (3225/206737),0.0001 (25/206737),0.0000 (7/206737),0.0000 (1/206737),0.0000 (0/206737),0.0274 (5657/206737),0.9561 (197670/206737),0.0000 (0/206737),0.0007 (152/206737)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/692534),0.0135 (9345/692534),0.0006 (381/692534),0.0004 (256/692534),0.0000 (0/692534),0.0000 (0/692534),0.0000 (0/692534),0.0000 (0/692534),0.0000 (0/692534),0.9856 (682552/692534)
