segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.7739 (26221/33880),0.0143 (483/33880),0.0000 (1/33880),0.0009 (30/33880),0.0000 (0/33880),0.0000 (0/33880),0.2025 (6861/33880),0.0074 (250/33880),0.0000 (0/33880),0.0010 (34/33880)
active_customer_1m,0.0000 (0/37669),0.5171 (19479/37669),0.4816 (18142/37669),0.0000 (0/37669),0.0013 (48/37669),0.0000 (0/37669),0.0000 (0/37669),0.0000 (0/37669),0.0000 (0/37669),0.0000 (0/37669)
active_customer_6m,0.0000 (0/77697),0.1588 (12337/77697),0.4635 (36014/77697),0.0000 (0/77697),0.0060 (466/77697),0.3717 (28880/77697),0.0000 (0/77697),0.0000 (0/77697),0.0000 (0/77697),0.0000 (0/77697)
dead_credit_holder,0.0000 (0/841),0.0083 (7/841),0.0000 (0/841),0.8954 (753/841),0.0000 (0/841),0.0000 (0/841),0.0000 (0/841),0.0000 (0/841),0.0000 (0/841),0.0963 (81/841)
dead_customer,0.0000 (0/120),0.0333 (4/120),0.0667 (8/120),0.0000 (0/120),0.8250 (99/120),0.0750 (9/120),0.0000 (0/120),0.0000 (0/120),0.0000 (0/120),0.0000 (0/120)
dormant_customer,0.0000 (0/11),0.1818 (2/11),0.0000 (0/11),0.0000 (0/11),0.0000 (0/11),0.8182 (9/11),0.0000 (0/11),0.0000 (0/11),0.0000 (0/11),0.0000 (0/11)
fresh_credit_holder,0.0000 (0/5838),0.2566 (1498/5838),0.0000 (0/5838),0.0033 (19/5838),0.0003 (2/5838),0.0000 (0/5838),0.0000 (0/5838),0.0000 (0/5838),0.0000 (0/5838),0.7398 (4319/5838)
rejected,0.0000 (0/236831),0.0268 (6352/236831),0.0000 (1/236831),0.0004 (100/236831),0.0000 (1/236831),0.0000 (0/236831),0.1874 (44387/236831),0.7832 (185495/236831),0.0000 (0/236831),0.0021 (495/236831)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/373467),0.0254 (9499/373467),0.0000 (0/373467),0.0108 (4044/373467),0.0000 (7/373467),0.0000 (0/373467),0.0000 (0/373467),0.0000 (0/373467),0.0000 (0/373467),0.9637 (359917/373467)
