segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9507 (9821/10330),0.0057 (59/10330),0.0000 (0/10330),0.0000 (0/10330),0.0000 (0/10330),0.0000 (0/10330),0.0088 (91/10330),0.0348 (359/10330),0.0000 (0/10330),0.0000 (0/10330)
active_customer_1m,0.0000 (0/17188),0.4252 (7308/17188),0.5745 (9875/17188),0.0000 (0/17188),0.0003 (5/17188),0.0000 (0/17188),0.0000 (0/17188),0.0000 (0/17188),0.0000 (0/17188),0.0000 (0/17188)
active_customer_6m,0.0000 (0/20861),0.1826 (3809/20861),0.8168 (17039/20861),0.0000 (0/20861),0.0006 (13/20861),0.0000 (0/20861),0.0000 (0/20861),0.0000 (0/20861),0.0000 (0/20861),0.0000 (0/20861)
dead_credit_holder,0.0000 (0/501),0.0180 (9/501),0.0000 (0/501),0.9301 (466/501),0.0000 (0/501),0.0000 (0/501),0.0000 (0/501),0.0000 (0/501),0.0000 (0/501),0.0519 (26/501)
dead_customer,0.0000 (0/41),0.0976 (4/41),0.1707 (7/41),0.0000 (0/41),0.7317 (30/41),0.0000 (0/41),0.0000 (0/41),0.0000 (0/41),0.0000 (0/41),0.0000 (0/41)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/4528),0.0978 (443/4528),0.0000 (0/4528),0.0007 (3/4528),0.0000 (0/4528),0.0000 (0/4528),0.0000 (0/4528),0.0000 (0/4528),0.0000 (0/4528),0.9015 (4082/4528)
rejected,0.0000 (0/52600),0.0055 (290/52600),0.0000 (0/52600),0.0001 (3/52600),0.0000 (0/52600),0.0000 (0/52600),0.0064 (335/52600),0.9881 (51972/52600),0.0000 (0/52600),0.0000 (0/52600)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/87895),0.0366 (3219/87895),0.0000 (0/87895),0.0004 (39/87895),0.0000 (0/87895),0.0000 (0/87895),0.0000 (0/87895),0.0000 (0/87895),0.0000 (0/87895),0.9629 (84637/87895)
