segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.7773 (10330/13290),0.0176 (234/13290),0.0000 (0/13290),0.0003 (4/13290),0.0000 (0/13290),0.0000 (0/13290),0.1622 (2155/13290),0.0427 (567/13290),0.0000 (0/13290),0.0000 (0/13290)
active_customer_1m,0.0000 (0/16630),0.4066 (6761/16630),0.5929 (9860/16630),0.0000 (0/16630),0.0005 (9/16630),0.0000 (0/16630),0.0000 (0/16630),0.0000 (0/16630),0.0000 (0/16630),0.0000 (0/16630)
active_customer_6m,0.0000 (0/13760),0.1993 (2743/13760),0.7995 (11001/13760),0.0000 (0/13760),0.0012 (16/13760),0.0000 (0/13760),0.0000 (0/13760),0.0000 (0/13760),0.0000 (0/13760),0.0000 (0/13760)
dead_credit_holder,0.0000 (0/433),0.0208 (9/433),0.0000 (0/433),0.9654 (418/433),0.0000 (0/433),0.0000 (0/433),0.0000 (0/433),0.0000 (0/433),0.0000 (0/433),0.0139 (6/433)
dead_customer,0.0000 (0/15),0.0667 (1/15),0.0000 (0/15),0.0000 (0/15),0.9333 (14/15),0.0000 (0/15),0.0000 (0/15),0.0000 (0/15),0.0000 (0/15),0.0000 (0/15)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/8382),0.1890 (1584/8382),0.0000 (0/8382),0.0008 (7/8382),0.0000 (0/8382),0.0000 (0/8382),0.0000 (0/8382),0.0000 (0/8382),0.0000 (0/8382),0.8102 (6791/8382)
rejected,0.0000 (0/55199),0.0143 (792/55199),0.0000 (0/55199),0.0000 (1/55199),0.0000 (0/55199),0.0000 (0/55199),0.0430 (2373/55199),0.9426 (52033/55199),0.0000 (0/55199),0.0000 (0/55199)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/86235),0.0587 (5064/86235),0.0000 (0/86235),0.0008 (71/86235),0.0000 (2/86235),0.0000 (0/86235),0.0000 (0/86235),0.0000 (0/86235),0.0000 (0/86235),0.9404 (81098/86235)
