segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9623 (23250/24162),0.0063 (152/24162),0.0000 (0/24162),0.0000 (0/24162),0.0000 (0/24162),0.0000 (0/24162),0.0146 (353/24162),0.0163 (395/24162),0.0000 (0/24162),0.0005 (12/24162)
active_customer_1m,0.0000 (0/57545),0.6195 (35647/57545),0.3803 (21882/57545),0.0000 (0/57545),0.0003 (16/57545),0.0000 (0/57545),0.0000 (0/57545),0.0000 (0/57545),0.0000 (0/57545),0.0000 (0/57545)
active_customer_6m,0.0000 (0/195008),0.1992 (38855/195008),0.6338 (123598/195008),0.0000 (0/195008),0.0003 (67/195008),0.1666 (32488/195008),0.0000 (0/195008),0.0000 (0/195008),0.0000 (0/195008),0.0000 (0/195008)
dead_credit_holder,0.0000 (0/3304),0.0030 (10/3304),0.0000 (0/3304),0.9918 (3277/3304),0.0000 (0/3304),0.0000 (0/3304),0.0000 (0/3304),0.0000 (0/3304),0.0000 (0/3304),0.0051 (17/3304)
dead_customer,0.0000 (0/224),0.0268 (6/224),0.0089 (2/224),0.0000 (0/224),0.9509 (213/224),0.0134 (3/224),0.0000 (0/224),0.0000 (0/224),0.0000 (0/224),0.0000 (0/224)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/78),0.3077 (24/78),0.0769 (6/78),0.0000 (0/78),0.0000 (0/78),0.0000 (0/78),0.0000 (0/78),0.0000 (0/78),0.0000 (0/78),0.6154 (48/78)
rejected,0.0000 (0/151644),0.0133 (2024/151644),0.0001 (9/151644),0.0000 (0/151644),0.0000 (0/151644),0.0000 (0/151644),0.0172 (2612/151644),0.9689 (146924/151644),0.0000 (0/151644),0.0005 (75/151644)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/1038108),0.0214 (22248/1038108),0.0008 (824/1038108),0.0003 (270/1038108),0.0000 (1/1038108),0.0000 (0/1038108),0.0000 (0/1038108),0.0000 (0/1038108),0.0000 (0/1038108),0.9775 (1014765/1038108)
