segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.7924 (7600/9591),0.0083 (80/9591),0.0000 (0/9591),0.0011 (11/9591),0.0000 (0/9591),0.0001 (1/9591),0.1904 (1826/9591),0.0067 (64/9591),0.0000 (0/9591),0.0009 (9/9591)
active_customer_1m,0.0000 (0/15325),0.5441 (8338/15325),0.4543 (6962/15325),0.0000 (0/15325),0.0016 (25/15325),0.0000 (0/15325),0.0000 (0/15325),0.0000 (0/15325),0.0000 (0/15325),0.0000 (0/15325)
active_customer_6m,0.0000 (0/19196),0.2418 (4642/19196),0.5574 (10699/19196),0.0000 (0/19196),0.0060 (115/19196),0.1948 (3740/19196),0.0000 (0/19196),0.0000 (0/19196),0.0000 (0/19196),0.0000 (0/19196)
dead_credit_holder,0.0000 (0/452),0.0088 (4/452),0.0000 (0/452),0.9336 (422/452),0.0000 (0/452),0.0000 (0/452),0.0000 (0/452),0.0000 (0/452),0.0000 (0/452),0.0575 (26/452)
dead_customer,0.0000 (0/142),0.0211 (3/142),0.0070 (1/142),0.0000 (0/142),0.8732 (124/142),0.0704 (10/142),0.0000 (0/142),0.0000 (0/142),0.0282 (4/142),0.0000 (0/142)
dormant_customer,0.0000 (0/12325),0.0798 (984/12325),0.0000 (0/12325),0.0000 (0/12325),0.0076 (94/12325),0.5545 (6834/12325),0.0000 (0/12325),0.0000 (0/12325),0.3581 (4413/12325),0.0000 (0/12325)
fresh_credit_holder,0.0000 (0/787),0.2046 (161/787),0.0000 (0/787),0.0025 (2/787),0.0000 (0/787),0.0000 (0/787),0.0000 (0/787),0.0000 (0/787),0.0000 (0/787),0.7929 (624/787)
rejected,0.0000 (0/39010),0.0182 (710/39010),0.0000 (1/39010),0.0003 (10/39010),0.0000 (0/39010),0.0000 (0/39010),0.1728 (6742/39010),0.8070 (31482/39010),0.0000 (0/39010),0.0017 (65/39010)
soft_churn_customer,0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),1.0000 (5/5),0.0000 (0/5)
unactivated_credit_holder,0.0000 (0/67022),0.0428 (2870/67022),0.0000 (0/67022),0.0151 (1015/67022),0.0000 (1/67022),0.0000 (0/67022),0.0000 (0/67022),0.0000 (0/67022),0.0000 (0/67022),0.9420 (63136/67022)
