segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9747 (215797/221403),0.0027 (606/221403),0.0000 (1/221403),0.0000 (7/221403),0.0000 (1/221403),0.0000 (0/221403),0.0099 (2182/221403),0.0123 (2718/221403),0.0000 (0/221403),0.0004 (91/221403)
active_customer_1m,0.0000 (0/271641),0.6567 (178379/271641),0.3430 (93166/271641),0.0000 (0/271641),0.0004 (96/271641),0.0000 (0/271641),0.0000 (0/271641),0.0000 (0/271641),0.0000 (0/271641),0.0000 (0/271641)
active_customer_6m,0.0000 (0/532369),0.2723 (144957/532369),0.5981 (318428/532369),0.0000 (0/532369),0.0007 (387/532369),0.1289 (68597/532369),0.0000 (0/532369),0.0000 (0/532369),0.0000 (0/532369),0.0000 (0/532369)
dead_credit_holder,0.0000 (0/412506),0.0045 (1836/412506),0.0000 (0/412506),0.6931 (285890/412506),0.0000 (0/412506),0.0000 (0/412506),0.0000 (0/412506),0.0000 (0/412506),0.0000 (0/412506),0.3025 (124780/412506)
dead_customer,0.0000 (0/47158),0.0125 (591/47158),0.0033 (155/47158),0.0000 (0/47158),0.9097 (42901/47158),0.0147 (691/47158),0.0000 (0/47158),0.0000 (0/47158),0.0598 (2820/47158),0.0000 (0/47158)
dormant_customer,0.0000 (0/181134),0.0879 (15927/181134),0.0006 (100/181134),0.0000 (0/181134),0.0011 (204/181134),0.8441 (152894/181134),0.0000 (0/181134),0.0000 (0/181134),0.0663 (12009/181134),0.0000 (0/181134)
fresh_credit_holder,0.0000 (0/926),0.2527 (234/926),0.0119 (11/926),0.0011 (1/926),0.0000 (0/926),0.0000 (0/926),0.0000 (0/926),0.0000 (0/926),0.0000 (0/926),0.7343 (680/926)
rejected,0.0000 (0/280157),0.0034 (950/280157),0.0000 (0/280157),0.0000 (9/280157),0.0000 (2/280157),0.0000 (0/280157),0.0077 (2167/280157),0.9885 (276933/280157),0.0000 (0/280157),0.0003 (96/280157)
soft_churn_customer,0.0000 (0/155244),0.0312 (4849/155244),0.0002 (35/155244),0.0000 (0/155244),0.0020 (304/155244),0.0000 (0/155244),0.0000 (0/155244),0.0000 (0/155244),0.9666 (150056/155244),0.0000 (0/155244)
unactivated_credit_holder,0.0000 (0/1439568),0.0181 (26004/1439568),0.0000 (55/1439568),0.0007 (1071/1439568),0.0000 (7/1439568),0.0000 (0/1439568),0.0000 (0/1439568),0.0000 (0/1439568),0.0000 (0/1439568),0.9811 (1412431/1439568)
