segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9730 (1405/1444),0.0028 (4/1444),0.0000 (0/1444),0.0000 (0/1444),0.0000 (0/1444),0.0000 (0/1444),0.0118 (17/1444),0.0125 (18/1444),0.0000 (0/1444),0.0000 (0/1444)
active_customer_1m,0.0000 (0/1390),0.6338 (881/1390),0.3662 (509/1390),0.0000 (0/1390),0.0000 (0/1390),0.0000 (0/1390),0.0000 (0/1390),0.0000 (0/1390),0.0000 (0/1390),0.0000 (0/1390)
active_customer_6m,0.0000 (0/3708),0.2602 (965/3708),0.6456 (2394/3708),0.0000 (0/3708),0.0003 (1/3708),0.0939 (348/3708),0.0000 (0/3708),0.0000 (0/3708),0.0000 (0/3708),0.0000 (0/3708)
dead_credit_holder,0.0000 (0/49),0.0000 (0/49),0.0000 (0/49),0.9388 (46/49),0.0000 (0/49),0.0000 (0/49),0.0000 (0/49),0.0000 (0/49),0.0000 (0/49),0.0612 (3/49)
dead_customer,0.0000 (0/18),0.0000 (0/18),0.0000 (0/18),0.0000 (0/18),1.0000 (18/18),0.0000 (0/18),0.0000 (0/18),0.0000 (0/18),0.0000 (0/18),0.0000 (0/18)
dormant_customer,0.0000 (0/1657),0.0766 (127/1657),0.0030 (5/1657),0.0000 (0/1657),0.0024 (4/1657),0.9179 (1521/1657),0.0000 (0/1657),0.0000 (0/1657),0.0000 (0/1657),0.0000 (0/1657)
fresh_credit_holder,0.0000 (0/5),0.6000 (3/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.4000 (2/5)
rejected,0.0000 (0/6893),0.0132 (91/6893),0.0001 (1/6893),0.0000 (0/6893),0.0000 (0/6893),0.0000 (0/6893),0.0209 (144/6893),0.9647 (6650/6893),0.0000 (0/6893),0.0010 (7/6893)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/7791),0.0290 (226/7791),0.0009 (7/7791),0.0012 (9/7791),0.0001 (1/7791),0.0000 (0/7791),0.0000 (0/7791),0.0000 (0/7791),0.0000 (0/7791),0.9688 (7548/7791)
