segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9751 (10020/10276),0.0012 (12/10276),0.0000 (0/10276),0.0000 (0/10276),0.0000 (0/10276),0.0000 (0/10276),0.0020 (21/10276),0.0217 (223/10276),0.0000 (0/10276),0.0000 (0/10276)
active_customer_1m,0.0000 (0/13908),0.4786 (6657/13908),0.5209 (7244/13908),0.0000 (0/13908),0.0005 (7/13908),0.0000 (0/13908),0.0000 (0/13908),0.0000 (0/13908),0.0000 (0/13908),0.0000 (0/13908)
active_customer_6m,0.0000 (0/19762),0.1906 (3767/19762),0.7383 (14591/19762),0.0000 (0/19762),0.0008 (16/19762),0.0702 (1388/19762),0.0000 (0/19762),0.0000 (0/19762),0.0000 (0/19762),0.0000 (0/19762)
dead_credit_holder,0.0000 (0/393),0.0025 (1/393),0.0000 (0/393),0.9924 (390/393),0.0000 (0/393),0.0000 (0/393),0.0000 (0/393),0.0000 (0/393),0.0000 (0/393),0.0051 (2/393)
dead_customer,0.0000 (0/96),0.0104 (1/96),0.0104 (1/96),0.0000 (0/96),0.9583 (92/96),0.0208 (2/96),0.0000 (0/96),0.0000 (0/96),0.0000 (0/96),0.0000 (0/96)
dormant_customer,0.0000 (0/6218),0.0616 (383/6218),0.0000 (0/6218),0.0000 (0/6218),0.0010 (6/6218),0.9374 (5829/6218),0.0000 (0/6218),0.0000 (0/6218),0.0000 (0/6218),0.0000 (0/6218)
fresh_credit_holder,0.0000 (0/340),0.1500 (51/340),0.0000 (0/340),0.0000 (0/340),0.0000 (0/340),0.0000 (0/340),0.0000 (0/340),0.0000 (0/340),0.0000 (0/340),0.8500 (289/340)
rejected,0.0000 (0/40068),0.0032 (127/40068),0.0000 (0/40068),0.0000 (1/40068),0.0000 (0/40068),0.0000 (0/40068),0.0029 (117/40068),0.9939 (39823/40068),0.0000 (0/40068),0.0000 (0/40068)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/72794),0.0358 (2606/72794),0.0000 (0/72794),0.0006 (41/72794),0.0000 (0/72794),0.0000 (0/72794),0.0000 (0/72794),0.0000 (0/72794),0.0000 (0/72794),0.9636 (70147/72794)
