segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.8032 (12647/15746),0.0090 (141/15746),0.0000 (0/15746),0.0006 (9/15746),0.0000 (0/15746),0.0000 (0/15746),0.1795 (2826/15746),0.0067 (106/15746),0.0000 (0/15746),0.0011 (17/15746)
active_customer_1m,0.0000 (0/20624),0.5658 (11669/20624),0.4327 (8924/20624),0.0000 (0/20624),0.0015 (31/20624),0.0000 (0/20624),0.0000 (0/20624),0.0000 (0/20624),0.0000 (0/20624),0.0000 (0/20624)
active_customer_6m,0.0000 (0/24525),0.2444 (5993/24525),0.5555 (13624/24525),0.0000 (0/24525),0.0076 (186/24525),0.1925 (4722/24525),0.0000 (0/24525),0.0000 (0/24525),0.0000 (0/24525),0.0000 (0/24525)
dead_credit_holder,0.0000 (0/587),0.0102 (6/587),0.0000 (0/587),0.9284 (545/587),0.0000 (0/587),0.0000 (0/587),0.0000 (0/587),0.0000 (0/587),0.0000 (0/587),0.0613 (36/587)
dead_customer,0.0000 (0/222),0.0270 (6/222),0.0180 (4/222),0.0000 (0/222),0.8964 (199/222),0.0450 (10/222),0.0000 (0/222),0.0000 (0/222),0.0135 (3/222),0.0000 (0/222)
dormant_customer,0.0000 (0/10882),0.1064 (1158/10882),0.0000 (0/10882),0.0000 (0/10882),0.0194 (211/10882),0.7626 (8299/10882),0.0000 (0/10882),0.0000 (0/10882),0.1116 (1214/10882),0.0000 (0/10882)
fresh_credit_holder,0.0000 (0/1296),0.2076 (269/1296),0.0000 (0/1296),0.0031 (4/1296),0.0000 (0/1296),0.0000 (0/1296),0.0000 (0/1296),0.0000 (0/1296),0.0000 (0/1296),0.7894 (1023/1296)
rejected,0.0000 (0/60539),0.0180 (1087/60539),0.0000 (0/60539),0.0002 (13/60539),0.0000 (0/60539),0.0000 (0/60539),0.1756 (10633/60539),0.8048 (48721/60539),0.0000 (0/60539),0.0014 (85/60539)
soft_churn_customer,0.0000 (0/6673),0.0508 (339/6673),0.0000 (0/6673),0.0000 (0/6673),0.0196 (131/6673),0.0000 (0/6673),0.0000 (0/6673),0.0000 (0/6673),0.9296 (6203/6673),0.0000 (0/6673)
unactivated_credit_holder,0.0000 (0/69088),0.0481 (3321/69088),0.0000 (0/69088),0.0093 (642/69088),0.0000 (2/69088),0.0000 (0/69088),0.0000 (0/69088),0.0000 (0/69088),0.0000 (0/69088),0.9426 (65123/69088)
