segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9832 (27270/27736),0.0014 (39/27736),0.0001 (2/27736),0.0000 (0/27736),0.0000 (0/27736),0.0000 (0/27736),0.0055 (153/27736),0.0098 (272/27736),0.0000 (0/27736),0.0000 (0/27736)
active_customer_1m,0.0000 (0/24942),0.3697 (9222/24942),0.6300 (15713/24942),0.0000 (0/24942),0.0003 (7/24942),0.0000 (0/24942),0.0000 (0/24942),0.0000 (0/24942),0.0000 (0/24942),0.0000 (0/24942)
active_customer_6m,0.0000 (0/19729),0.1002 (1976/19729),0.8998 (17752/19729),0.0000 (0/19729),0.0001 (1/19729),0.0000 (0/19729),0.0000 (0/19729),0.0000 (0/19729),0.0000 (0/19729),0.0000 (0/19729)
dead_credit_holder,0.0000 (0/203),0.0000 (0/203),0.0000 (0/203),0.9557 (194/203),0.0000 (0/203),0.0000 (0/203),0.0000 (0/203),0.0000 (0/203),0.0000 (0/203),0.0443 (9/203)
dead_customer,0.0000 (0/19),0.0526 (1/19),0.0000 (0/19),0.0000 (0/19),0.9474 (18/19),0.0000 (0/19),0.0000 (0/19),0.0000 (0/19),0.0000 (0/19),0.0000 (0/19)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/3144),0.0859 (270/3144),0.0095 (30/3144),0.0003 (1/3144),0.0000 (0/3144),0.0000 (0/3144),0.0051 (16/3144),0.0000 (0/3144),0.0000 (0/3144),0.8992 (2827/3144)
rejected,0.0000 (0/202604),0.0017 (345/202604),0.0000 (7/202604),0.0000 (0/202604),0.0000 (0/202604),0.0000 (0/202604),0.0022 (452/202604),0.9960 (201800/202604),0.0000 (0/202604),0.0000 (0/202604)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/65605),0.0279 (1832/65605),0.0027 (179/65605),0.0005 (36/65605),0.0000 (0/65605),0.0000 (0/65605),0.0000 (0/65605),0.0000 (0/65605),0.0000 (0/65605),0.9688 (63558/65605)
