segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9947 (8377/8422),0.0001 (1/8422),0.0000 (0/8422),0.0000 (0/8422),0.0000 (0/8422),0.0000 (0/8422),0.0018 (15/8422),0.0034 (29/8422),0.0000 (0/8422),0.0000 (0/8422)
active_customer_1m,0.0000 (0/5880),0.2105 (1238/5880),0.7893 (4641/5880),0.0000 (0/5880),0.0002 (1/5880),0.0000 (0/5880),0.0000 (0/5880),0.0000 (0/5880),0.0000 (0/5880),0.0000 (0/5880)
active_customer_6m,0.0000 (0/264),0.1136 (30/264),0.8826 (233/264),0.0000 (0/264),0.0038 (1/264),0.0000 (0/264),0.0000 (0/264),0.0000 (0/264),0.0000 (0/264),0.0000 (0/264)
dead_credit_holder,0.0000 (0/9),0.0000 (0/9),0.0000 (0/9),1.0000 (9/9),0.0000 (0/9),0.0000 (0/9),0.0000 (0/9),0.0000 (0/9),0.0000 (0/9),0.0000 (0/9)
dead_customer,0.0000 (0/1),0.0000 (0/1),0.0000 (0/1),0.0000 (0/1),1.0000 (1/1),0.0000 (0/1),0.0000 (0/1),0.0000 (0/1),0.0000 (0/1),0.0000 (0/1)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/11675),0.0237 (277/11675),0.0000 (0/11675),0.0001 (1/11675),0.0000 (0/11675),0.0000 (0/11675),0.0000 (0/11675),0.0000 (0/11675),0.0000 (0/11675),0.9762 (11397/11675)
rejected,0.0000 (0/58239),0.0003 (18/58239),0.0000 (0/58239),0.0000 (0/58239),0.0000 (0/58239),0.0000 (0/58239),0.0011 (63/58239),0.9986 (58158/58239),0.0000 (0/58239),0.0000 (0/58239)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0)
