segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9969 (9285/9314),0.0000 (0/9314),0.0000 (0/9314),0.0000 (0/9314),0.0000 (0/9314),0.0000 (0/9314),0.0012 (11/9314),0.0019 (18/9314),0.0000 (0/9314),0.0000 (0/9314)
active_customer_1m,0.0000 (0/9951),0.4656 (4633/9951),0.5344 (5318/9951),0.0000 (0/9951),0.0000 (0/9951),0.0000 (0/9951),0.0000 (0/9951),0.0000 (0/9951),0.0000 (0/9951),0.0000 (0/9951)
active_customer_6m,0.0000 (0/36121),0.0994 (3591/36121),0.6934 (25047/36121),0.0000 (0/36121),0.0001 (5/36121),0.2070 (7478/36121),0.0000 (0/36121),0.0000 (0/36121),0.0000 (0/36121),0.0000 (0/36121)
dead_credit_holder,0.0000 (0/577),0.0000 (0/577),0.0000 (0/577),0.9983 (576/577),0.0000 (0/577),0.0000 (0/577),0.0000 (0/577),0.0000 (0/577),0.0000 (0/577),0.0017 (1/577)
dead_customer,0.0000 (0/91),0.0110 (1/91),0.0769 (7/91),0.0000 (0/91),0.8901 (81/91),0.0220 (2/91),0.0000 (0/91),0.0000 (0/91),0.0000 (0/91),0.0000 (0/91)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/219),0.0183 (4/219),0.0000 (0/219),0.0000 (0/219),0.0000 (0/219),0.0000 (0/219),0.0000 (0/219),0.0000 (0/219),0.0000 (0/219),0.9817 (215/219)
rejected,0.0000 (0/52185),0.0001 (5/52185),0.0000 (0/52185),0.0000 (0/52185),0.0000 (0/52185),0.0000 (0/52185),0.0007 (37/52185),0.9992 (52143/52185),0.0000 (0/52185),0.0000 (0/52185)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/85486),0.0034 (294/85486),0.0000 (0/85486),0.0001 (8/85486),0.0000 (0/85486),0.0000 (0/85486),0.0000 (0/85486),0.0000 (0/85486),0.0000 (0/85486),0.9965 (85184/85486)
