segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9959 (221403/222323),0.0002 (53/222323),0.0000 (0/222323),0.0000 (0/222323),0.0000 (0/222323),0.0000 (0/222323),0.0019 (424/222323),0.0019 (432/222323),0.0000 (0/222323),0.0000 (11/222323)
active_customer_1m,0.0000 (0/335869),0.4805 (161369/335869),0.5193 (174421/335869),0.0000 (0/335869),0.0002 (79/335869),0.0000 (0/335869),0.0000 (0/335869),0.0000 (0/335869),0.0000 (0/335869),0.0000 (0/335869)
active_customer_6m,0.0000 (0/501985),0.1804 (90575/501985),0.7128 (357839/501985),0.0000 (0/501985),0.0006 (289/501985),0.1061 (53282/501985),0.0000 (0/501985),0.0000 (0/501985),0.0000 (0/501985),0.0000 (0/501985)
dead_credit_holder,0.0000 (0/325807),0.0001 (43/325807),0.0000 (0/325807),0.9986 (325362/325807),0.0000 (0/325807),0.0000 (0/325807),0.0000 (0/325807),0.0000 (0/325807),0.0000 (0/325807),0.0012 (402/325807)
dead_customer,0.0000 (0/45256),0.0008 (36/45256),0.0004 (20/45256),0.0000 (0/45256),0.9952 (45038/45256),0.0019 (86/45256),0.0000 (0/45256),0.0000 (0/45256),0.0017 (76/45256),0.0000 (0/45256)
dormant_customer,0.0000 (0/145944),0.0481 (7014/145944),0.0001 (12/145944),0.0000 (0/145944),0.0019 (284/145944),0.8754 (127766/145944),0.0000 (0/145944),0.0000 (0/145944),0.0745 (10868/145944),0.0000 (0/145944)
fresh_credit_holder,0.0000 (0/13202),0.0215 (284/13202),0.0005 (6/13202),0.0008 (10/13202),0.0000 (0/13202),0.0000 (0/13202),0.0000 (0/13202),0.0000 (0/13202),0.0000 (0/13202),0.9773 (12902/13202)
rejected,0.0000 (0/280312),0.0003 (74/280312),0.0000 (0/280312),0.0000 (2/280312),0.0000 (0/280312),0.0000 (0/280312),0.0018 (502/280312),0.9979 (279725/280312),0.0000 (0/280312),0.0000 (9/280312)
soft_churn_customer,0.0000 (0/148233),0.0166 (2458/148233),0.0001 (8/148233),0.0000 (0/148233),0.0099 (1467/148233),0.0000 (0/148233),0.0000 (0/148233),0.0000 (0/148233),0.9735 (144300/148233),0.0000 (0/148233)
unactivated_credit_holder,0.0000 (0/1523175),0.0064 (9735/1523175),0.0000 (63/1523175),0.0572 (87132/1523175),0.0000 (1/1523175),0.0000 (0/1523175),0.0000 (0/1523175),0.0000 (0/1523175),0.0000 (0/1523175),0.9364 (1426244/1523175)
