segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.7687 (9204/11974),0.0179 (214/11974),0.0000 (0/11974),0.0003 (4/11974),0.0000 (0/11974),0.0000 (0/11974),0.1902 (2277/11974),0.0230 (275/11974),0.0000 (0/11974),0.0000 (0/11974)
active_customer_1m,0.0000 (0/8558),0.3616 (3095/8558),0.6379 (5459/8558),0.0000 (0/8558),0.0005 (4/8558),0.0000 (0/8558),0.0000 (0/8558),0.0000 (0/8558),0.0000 (0/8558),0.0000 (0/8558)
active_customer_6m,0.0000 (0/17035),0.1833 (3123/17035),0.8153 (13889/17035),0.0000 (0/17035),0.0014 (23/17035),0.0000 (0/17035),0.0000 (0/17035),0.0000 (0/17035),0.0000 (0/17035),0.0000 (0/17035)
dead_credit_holder,0.0000 (0/100),0.0200 (2/100),0.0000 (0/100),0.9400 (94/100),0.0000 (0/100),0.0000 (0/100),0.0000 (0/100),0.0000 (0/100),0.0000 (0/100),0.0400 (4/100)
dead_customer,0.0000 (0/24),0.1667 (4/24),0.0833 (2/24),0.0000 (0/24),0.7500 (18/24),0.0000 (0/24),0.0000 (0/24),0.0000 (0/24),0.0000 (0/24),0.0000 (0/24)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/816),0.2512 (205/816),0.0000 (0/816),0.0037 (3/816),0.0000 (0/816),0.0000 (0/816),0.0000 (0/816),0.0000 (0/816),0.0000 (0/816),0.7451 (608/816)
rejected,0.0000 (0/54359),0.0220 (1196/54359),0.0000 (0/54359),0.0001 (3/54359),0.0000 (0/54359),0.0000 (0/54359),0.1265 (6877/54359),0.8514 (46283/54359),0.0000 (0/54359),0.0000 (0/54359)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/49702),0.0581 (2888/49702),0.0000 (0/49702),0.0040 (200/49702),0.0000 (0/49702),0.0000 (0/49702),0.0000 (0/49702),0.0000 (0/49702),0.0000 (0/49702),0.9379 (46614/49702)
