segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9969 (24162/24236),0.0001 (2/24236),0.0000 (0/24236),0.0000 (0/24236),0.0000 (0/24236),0.0000 (0/24236),0.0006 (15/24236),0.0024 (57/24236),0.0000 (0/24236),0.0000 (0/24236)
active_customer_1m,0.0000 (0/67077),0.4665 (31289/67077),0.5334 (35780/67077),0.0000 (0/67077),0.0001 (8/67077),0.0000 (0/67077),0.0000 (0/67077),0.0000 (0/67077),0.0000 (0/67077),0.0000 (0/67077)
active_customer_6m,0.0000 (0/178051),0.1057 (18823/178051),0.8942 (159208/178051),0.0000 (0/178051),0.0001 (20/178051),0.0000 (0/178051),0.0000 (0/178051),0.0000 (0/178051),0.0000 (0/178051),0.0000 (0/178051)
dead_credit_holder,0.0000 (0/3216),0.0000 (0/3216),0.0000 (0/3216),0.9994 (3214/3216),0.0000 (0/3216),0.0000 (0/3216),0.0000 (0/3216),0.0000 (0/3216),0.0000 (0/3216),0.0006 (2/3216)
dead_customer,0.0000 (0/218),0.0092 (2/218),0.0917 (20/218),0.0000 (0/218),0.8991 (196/218),0.0000 (0/218),0.0000 (0/218),0.0000 (0/218),0.0000 (0/218),0.0000 (0/218)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/434),0.0138 (6/434),0.0000 (0/434),0.0000 (0/434),0.0000 (0/434),0.0000 (0/434),0.0000 (0/434),0.0000 (0/434),0.0000 (0/434),0.9862 (428/434)
rejected,0.0000 (0/151672),0.0001 (22/151672),0.0000 (0/151672),0.0000 (0/151672),0.0000 (0/151672),0.0000 (0/151672),0.0004 (63/151672),0.9994 (151587/151672),0.0000 (0/151672),0.0000 (0/151672)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/1045169),0.0071 (7401/1045169),0.0000 (0/1045169),0.0001 (90/1045169),0.0000 (0/1045169),0.0000 (0/1045169),0.0000 (0/1045169),0.0000 (0/1045169),0.0000 (0/1045169),0.9928 (1037678/1045169)
