segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.7102 (27083/38134),0.0519 (1979/38134),0.0001 (4/38134),0.0002 (8/38134),0.0000 (0/38134),0.0000 (0/38134),0.1238 (4721/38134),0.1138 (4339/38134),0.0000 (0/38134),0.0000 (0/38134)
active_customer_1m,0.0000 (0/92940),0.4266 (39647/92940),0.5732 (53269/92940),0.0000 (0/92940),0.0003 (24/92940),0.0000 (0/92940),0.0000 (0/92940),0.0000 (0/92940),0.0000 (0/92940),0.0000 (0/92940)
active_customer_6m,0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
dead_credit_holder,0.0000 (0/2313),0.0078 (18/2313),0.0000 (0/2313),0.9745 (2254/2313),0.0000 (0/2313),0.0000 (0/2313),0.0000 (0/2313),0.0000 (0/2313),0.0000 (0/2313),0.0177 (41/2313)
dead_customer,0.0000 (0/12),0.0833 (1/12),0.0000 (0/12),0.0000 (0/12),0.9167 (11/12),0.0000 (0/12),0.0000 (0/12),0.0000 (0/12),0.0000 (0/12),0.0000 (0/12)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/1180472),0.0528 (62343/1180472),0.0000 (0/1180472),0.0003 (366/1180472),0.0000 (5/1180472),0.0000 (0/1180472),0.0000 (0/1180472),0.0000 (0/1180472),0.0000 (0/1180472),0.9469 (1117758/1180472)
rejected,0.0000 (0/156202),0.0174 (2718/156202),0.0000 (1/156202),0.0001 (9/156202),0.0000 (0/156202),0.0000 (0/156202),0.0313 (4889/156202),0.9512 (148585/156202),0.0000 (0/156202),0.0000 (0/156202)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0)
