segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9952 (27140/27270),0.0005 (14/27270),0.0000 (0/27270),0.0000 (0/27270),0.0000 (0/27270),0.0000 (0/27270),0.0015 (42/27270),0.0027 (74/27270),0.0000 (0/27270),0.0000 (0/27270)
active_customer_1m,0.0000 (0/13685),0.4755 (6507/13685),0.5245 (7178/13685),0.0000 (0/13685),0.0000 (0/13685),0.0000 (0/13685),0.0000 (0/13685),0.0000 (0/13685),0.0000 (0/13685),0.0000 (0/13685)
active_customer_6m,0.0000 (0/33683),0.1182 (3981/33683),0.8816 (29694/33683),0.0000 (0/33683),0.0002 (8/33683),0.0000 (0/33683),0.0000 (0/33683),0.0000 (0/33683),0.0000 (0/33683),0.0000 (0/33683)
dead_credit_holder,0.0000 (0/231),0.0000 (0/231),0.0000 (0/231),0.9957 (230/231),0.0000 (0/231),0.0000 (0/231),0.0000 (0/231),0.0000 (0/231),0.0000 (0/231),0.0043 (1/231)
dead_customer,0.0000 (0/26),0.0000 (0/26),0.0769 (2/26),0.0000 (0/26),0.9231 (24/26),0.0000 (0/26),0.0000 (0/26),0.0000 (0/26),0.0000 (0/26),0.0000 (0/26)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/621),0.0354 (22/621),0.0000 (0/621),0.0000 (0/621),0.0000 (0/621),0.0000 (0/621),0.0000 (0/621),0.0000 (0/621),0.0000 (0/621),0.9646 (599/621)
rejected,0.0000 (0/202072),0.0002 (48/202072),0.0000 (0/202072),0.0000 (0/202072),0.0000 (0/202072),0.0000 (0/202072),0.0011 (228/202072),0.9986 (201796/202072),0.0000 (0/202072),0.0000 (0/202072)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/66394),0.0106 (704/66394),0.0000 (0/66394),0.0002 (11/66394),0.0000 (0/66394),0.0000 (0/66394),0.0000 (0/66394),0.0000 (0/66394),0.0000 (0/66394),0.9892 (65679/66394)
