segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.8393 (1577/1879),0.0117 (22/1879),0.0000 (0/1879),0.0005 (1/1879),0.0000 (0/1879),0.0000 (0/1879),0.1187 (223/1879),0.0298 (56/1879),0.0000 (0/1879),0.0000 (0/1879)
active_customer_1m,0.0000 (0/1636),0.4499 (736/1636),0.5489 (898/1636),0.0000 (0/1636),0.0012 (2/1636),0.0000 (0/1636),0.0000 (0/1636),0.0000 (0/1636),0.0000 (0/1636),0.0000 (0/1636)
active_customer_6m,0.0000 (0/3149),0.2398 (755/3149),0.7596 (2392/3149),0.0000 (0/3149),0.0006 (2/3149),0.0000 (0/3149),0.0000 (0/3149),0.0000 (0/3149),0.0000 (0/3149),0.0000 (0/3149)
dead_credit_holder,0.0000 (0/40),0.0000 (0/40),0.0000 (0/40),0.9750 (39/40),0.0000 (0/40),0.0000 (0/40),0.0000 (0/40),0.0000 (0/40),0.0000 (0/40),0.0250 (1/40)
dead_customer,0.0000 (0/14),0.1429 (2/14),0.0714 (1/14),0.0000 (0/14),0.7857 (11/14),0.0000 (0/14),0.0000 (0/14),0.0000 (0/14),0.0000 (0/14),0.0000 (0/14)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/1548),0.1382 (214/1548),0.0000 (0/1548),0.0000 (0/1548),0.0000 (0/1548),0.0000 (0/1548),0.0000 (0/1548),0.0000 (0/1548),0.0000 (0/1548),0.8618 (1334/1548)
rejected,0.0000 (0/7468),0.0150 (112/7468),0.0000 (0/7468),0.0001 (1/7468),0.0000 (0/7468),0.0000 (0/7468),0.0584 (436/7468),0.9265 (6919/7468),0.0000 (0/7468),0.0000 (0/7468)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/7221),0.0665 (480/7221),0.0000 (0/7221),0.0008 (6/7221),0.0000 (0/7221),0.0000 (0/7221),0.0000 (0/7221),0.0000 (0/7221),0.0000 (0/7221),0.9327 (6735/7221)
