segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9656 (22026/22811),0.0025 (57/22811),0.0001 (2/22811),0.0001 (2/22811),0.0000 (0/22811),0.0000 (0/22811),0.0074 (168/22811),0.0244 (556/22811),0.0000 (0/22811),0.0000 (0/22811)
active_customer_1m,0.0000 (0/22492),0.3444 (7746/22492),0.6552 (14737/22492),0.0000 (0/22492),0.0004 (9/22492),0.0000 (0/22492),0.0000 (0/22492),0.0000 (0/22492),0.0000 (0/22492),0.0000 (0/22492)
active_customer_6m,0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
dead_credit_holder,0.0000 (0/112),0.0000 (0/112),0.0000 (0/112),0.9821 (110/112),0.0000 (0/112),0.0000 (0/112),0.0000 (0/112),0.0000 (0/112),0.0000 (0/112),0.0179 (2/112)
dead_customer,0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),1.0000 (5/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5),0.0000 (0/5)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/702731),0.0092 (6442/702731),0.0011 (771/702731),0.0002 (106/702731),0.0000 (1/702731),0.0000 (0/702731),0.0007 (521/702731),0.0000 (0/702731),0.0000 (0/702731),0.9888 (694890/702731)
rejected,0.0000 (0/206970),0.0014 (281/206970),0.0001 (14/206970),0.0000 (0/206970),0.0000 (0/206970),0.0000 (0/206970),0.0016 (336/206970),0.9970 (206339/206970),0.0000 (0/206970),0.0000 (0/206970)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0)
