segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.8050 (20374/25308),0.0134 (339/25308),0.0000 (0/25308),0.0002 (6/25308),0.0000 (0/25308),0.0000 (0/25308),0.1648 (4171/25308),0.0165 (418/25308),0.0000 (0/25308),0.0000 (0/25308)
active_customer_1m,0.0000 (0/12212),0.4005 (4891/12212),0.5988 (7312/12212),0.0000 (0/12212),0.0007 (9/12212),0.0000 (0/12212),0.0000 (0/12212),0.0000 (0/12212),0.0000 (0/12212),0.0000 (0/12212)
active_customer_6m,0.0000 (0/18703),0.2065 (3863/18703),0.6271 (11729/18703),0.0000 (0/18703),0.0021 (40/18703),0.1642 (3071/18703),0.0000 (0/18703),0.0000 (0/18703),0.0000 (0/18703),0.0000 (0/18703)
dead_credit_holder,0.0000 (0/268),0.0187 (5/268),0.0000 (0/268),0.9701 (260/268),0.0000 (0/268),0.0000 (0/268),0.0000 (0/268),0.0000 (0/268),0.0000 (0/268),0.0112 (3/268)
dead_customer,0.0000 (0/50),0.0200 (1/50),0.0400 (2/50),0.0000 (0/50),0.9200 (46/50),0.0200 (1/50),0.0000 (0/50),0.0000 (0/50),0.0000 (0/50),0.0000 (0/50)
dormant_customer,0.0000 (0/7163),0.0910 (652/7163),0.0000 (0/7163),0.0000 (0/7163),0.0034 (24/7163),0.9056 (6487/7163),0.0000 (0/7163),0.0000 (0/7163),0.0000 (0/7163),0.0000 (0/7163)
fresh_credit_holder,0.0000 (0/1182),0.2047 (242/1182),0.0000 (0/1182),0.0025 (3/1182),0.0000 (0/1182),0.0000 (0/1182),0.0000 (0/1182),0.0000 (0/1182),0.0000 (0/1182),0.7927 (937/1182)
rejected,0.0000 (0/75962),0.0193 (1468/75962),0.0000 (0/75962),0.0001 (11/75962),0.0000 (1/75962),0.0000 (0/75962),0.1119 (8501/75962),0.8686 (65981/75962),0.0000 (0/75962),0.0000 (0/75962)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/69334),0.0483 (3350/69334),0.0000 (0/69334),0.0032 (224/69334),0.0000 (2/69334),0.0000 (0/69334),0.0000 (0/69334),0.0000 (0/69334),0.0000 (0/69334),0.9484 (65758/69334)
